"1;Sajgonki z ziemskiej stonki;15;10;wołowina,cebula,świeży imbir,czosnek,sos sojowy,siekana natka pietruszki i kolendry"
"1;Onion Orbits;12;10;onion rings,sos spicy mayo"
"1;Tatar Awatar;17;10,orzechy włoskie,szczypiorek,rzodkiewka,natka pietruszki"
"1;Bruschetta -,,gwiezdna luneta'';13;10;bagietka,oliwa z oliwek,czosnek,pomidorki cherry,świeża bazylia,kapary,czerwona cebula,mozzarella"
"1;Krewetki -,,rakietki'';18;15;krewetki,czosnek,białe wino,natka pietruszki,"
"2;Misa marsjańska;40;15;ryż,marynowany bakłażan,roślinne mielone,chrupiące warzywa,kiełki,świeży szpinak,sos na bazie pasty gochujang"
"2;Saturniańska zupa cebulowa;18;10;chrupiąca cebula,białe wytrawne wino,bulion warzywny,tymianek,sól i świeżo zmielony czarny pieprz "
"2;Księżycowy Ramen;22;15;esencjonalny rosół z glonami kombu,makaron soba,marynowane tofu,chrupiące warzywa"
"2;Talerz ziemsko-polski;35;20;kotlet schabowy,puree z cukinii,ogórki małosolne,surówka z kapusty "
"2;Wenusowe Siaki-Maki;42;20;Nori,kleisty ryż,marchewka,ogórek szklarniowy,awokado,wędzony łosoś,papryka,szczypiorek,wasabi,sos sojowy"
"2;Niebiański Surf & Turf;50;25;polędwica wołowa,krewetki,szparagi zielone,świeży rozmaryn,czosnek,tarty parmezan,świeża natka pietruszki,bagietka"
"2;Burger,,Krowi Spodek'';35;25,rostbef,cheddar,pomidory,ogórki małosolne,sałata,czerwona cebula"
"2;Tęczowy łosoś zapiekany ze szpinakiem i suszonymi pomidorami;45;30;filet z łososia,szpinak,syrop klonowy,zielona papryka,suszone pomidory "
"2;Gnocchii alla Proxima Centauri;32;20;buraczkowe gnocchi nadziewane mascarpone,orzechy włoskie "
"2;Tortellini -,,Meteorollini'' - sałatka brokułowa z tortellini i kurczakiem;28;15;tortellini,brokuł,filet z kurczaka,majonez,jogurt naturalny,musztarda"
"2;Zapiekanka z tortellini alla Rick&Morty;35;25;tortellini,cebula dymka ze szczypiorkiem,ser cheddar"
"2;Pizza,,Na kosmo-fazie'';25;15;banan,nutella,M&M's,truskawki,wata cukrowa"
"2;Pizza,,Ostra jak róg jednorożca'';34;15,grillowany filet z ziemskiej kury,ostra marynowana papryczka,kapary,ruccola "
"3;Merkuriańska Lawa - Baklava;8;5;orzechy włoskie,płatki chilli,cynamon"
"3;Krasnoludowe ciasto czekoladowe;10;5;czekolada,jajka,ciecierzyca,laska wanilli "
"3;,,Cyklopioka'' - mityczna tapioka;12;5;tapioka,mleczko kokosowe,pasta z wanilii,sos ze świeżych truskawek "
"3;Kosmolody;15;5;lody o smaku kinder bueno,brownie,bita śmietana,prażone orzechy"
"4;Mango Lassi;16  5;mango,mleko kokosowe,kardamon,imbir"
"4;Świeżo wyciskany sok;14;10  (tutaj można dodać opcję - z jabłek,pomarańczy,grejpfruta,mango) "
"4;Cappuccino;12;5;(tutaj można dodać opcję wyboru mleka: sojowe,bez laktozy,migdałowe,ryżowe)"
"4;Latte;11;5;(tutaj można dodać opcję wyboru mleka: sojowe,bez laktozy,migdałowe,ryżowe)"
"4;Espresso;7;5;"
"4;Gorąca jak lawa - nasza autorska czekolada;14;5;(tutaj można dodać opcję wyboru mleka: sojowe,bez laktozy,migdałowe,ryżowe);"
"4;Mrożona kawa;15;5;(tutaj można dodać opcję wyboru mleka: sojowe,bez laktozy,migdałowe,ryżowe)"
"4;Aromatyczny napar;10;5;(tutaj można dodać opcję - biała,zielona,owocowa,rooibos,yerba matte)"
"4;Woda księżycowa;6;5;(wybór: gazowana,niegazowana)"
"4;Coca-Cola przyrządzana przez trolla;8;5  (wybór: Cherry Coke,Coca-Cola,Coca-Cola zero)"
